ts,ts_delta,peer,gaps,acks,percent_lost
1762166220.876388,60.000258,zeek,3,85,3.529412
1762167120.974320,900.097932,zeek,18571,51760,35.879057
1762168020.974449,900.000129,zeek,96559,197445,48.904252
1762168920.974987,900.000538,zeek,5665,19400,29.201031
1762169820.975423,900.000436,zeek,7932,32260,24.587725
1762170720.977202,900.001779,zeek,41009,76070,53.909557
1762171620.978655,900.001453,zeek,23696,44875,52.804457
1762172520.979958,900.001303,zeek,11228,21861,51.360871
1762173420.982186,900.002228,zeek,40233,74417,54.06426
1762174320.982244,900.000058,zeek,46447,96641,48.061382
1762175220.984751,900.002507,zeek,10386,33074,31.40231
1762176120.985308,900.000557,zeek,90,8194,1.098365
