ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected
1762166163.279945,C6loQG1A5EWRCB8Zjj,192.168.7.205,38749,192.168.7.1,53,udp,10578,0.260429,connectivity-check.ubuntu.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"185.125.190.97,185.125.190.98,185.125.190.18,91.189.91.98,91.189.91.97,91.189.91.48,185.125.190.49,185.125.190.48,185.125.190.96,91.189.91.49,91.189.91.96,185.125.190.17","5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000",F
1762166179.232273,COEyCr2QHDS6agLAEk,fd50:75fd:c988:0:50be:4ba3:982:3b13,54626,fd50:75fd:c988::1,53,udp,49040,0.045189,addons-pa.clients6.google.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,64.233.164.95,119.000000,F
1762166179.718067,Ck9tbT1PD8xCt9R03a,fd50:75fd:c988:0:50be:4ba3:982:3b13,60051,fd50:75fd:c988::1,53,udp,18925,0.085508,p2p-sto2.discovery.steamserver.net,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,"155.133.252.39,155.133.252.54,155.133.252.40","11.000000,11.000000,11.000000",F
1762166181.089118,CZ0uVAffWeTfeu0E8,fd50:75fd:c988:0:50be:4ba3:982:3b13,65468,fd50:75fd:c988::1,53,udp,14764,0.607455,turing-writingassistance.edge.microsoft.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,13.107.6.158,8.000000,F
1762166183.830466,CtwprGy047MCfCIDg,fd50:75fd:c988:0:50be:4ba3:982:3b13,62795,fd50:75fd:c988::1,53,udp,3494,0.053476,nleditor.osi.office.net,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,4.251.34.91,3.000000,F
1762166179.231701,Ci1aAu338UVe9uvGx7,fd50:75fd:c988:0:50be:4ba3:982:3b13,58064,fd50:75fd:c988::1,53,udp,10615,-,addons-pa.clients6.google.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166181.089118,CIEqqa2yaMPcKtlSHk,fd50:75fd:c988:0:50be:4ba3:982:3b13,58301,fd50:75fd:c988::1,53,udp,27805,-,turing-writingassistance.edge.microsoft.com,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166183.830466,C4eP8g37p3w4okTgQ6,fd50:75fd:c988:0:50be:4ba3:982:3b13,58374,fd50:75fd:c988::1,53,udp,34348,-,nleditor.osi.office.net,1,C_INTERNET,65,HTTPS,-,-,F,F,T,F,0,-,-,F
1762166201.195066,C1AELY14tuMT8YGlFh,fd50:75fd:c988:0:50be:4ba3:982:3b13,54075,fd50:75fd:c988::1,53,udp,42211,0.055651,docs.google.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,74.125.131.194,36.000000,F
1762166201.291234,CgL33u2rhZ0FpjvDWl,fd50:75fd:c988:0:50be:4ba3:982:3b13,61748,fd50:75fd:c988::1,53,udp,5220,0.046730,ssl.gstatic.com,1,C_INTERNET,1,A,0,NOERROR,T,F,T,T,0,64.233.164.94,247.000000,F
