ts,fuid,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,source,depth,analyzers,mime_type,filename,duration,local_orig,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,parent_fuid,md5,sha1,sha256,extracted,extracted_cutoff,extracted_size
1762166265.171422,FGUiEAwdIYT4vztj6,CXzQ5R30O1iNlrNwO5,192.168.7.205,41572,213.180.204.183,80,HTTP,0,"SHA1,MD5",application/x-debian-package,-,0.025201,F,F,101992,101992,0,0,F,-,ffe7433905054571c6586ddb74865d4a,20150fc770647d30cd2f4b0346bffbe0d12b74dd,-,-,-,-
1762166265.345529,F9Bh9Z1eYn6IH11vC3,C2EFs51qtigm2XAVL7,192.168.7.101,50366,48.209.180.244,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,0008ad829f2c305205aabaadc3027df0,8b002e999a7af5801206b476399dde5c071c0543,-,-,-,-
1762166286.226991,FgTLIy1scIQ8hU8FRe,CuHTJ74I3RNFRffslb,192.168.7.101,61475,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,148,148,0,0,F,-,2bdb052b1645fbe7f54a17689d50bb0c,4fb6db2510968757b5407fb17b630882387fcfc5,-,-,-,-
1762166286.276123,FT2WTq4dea7yN6JUwl,CuHTJ74I3RNFRffslb,192.168.7.101,61475,91.105.192.100,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,192,192,0,0,F,-,992000b703517cd0880e1a31cf2ab070,1798da904b9ca1771768fa1b1ecbd6025b86b637,-,-,-,-
1762166321.954003,Fy9TrZ2uTul02tipi8,C9LqBEgueSTjuvGh8,192.168.7.101,61476,23.73.2.151,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1050,-,0,0,F,-,c826e449d05d0bbd23ebc480e231a21a,b8cbaf91a29e207120904312fec07d3700ed5e95,-,-,-,-
1762166331.723137,FggV5oeQN8qZf2Ive,C8aaCW3201kC7DMyq7,192.168.7.101,58745,150.171.27.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,4288bb046de6e35146b56c26150f7efc,d91ce3017cbe759f059e97264f18193a3bcad3f7,-,-,-,-
1762166337.095291,FmgeSm3UEaJmlF4iQ8,CGmESa33dpldqVMrn7,192.168.7.101,58746,52.123.129.14,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,21f9d3373211032ae57201998d9c3bfa,3669bed72a9cad1d166e65a1c37b9d368cf574d4,-,-,-,-
1762166391.226559,Fd9WtW1sjOq30yFzni,Cu4QFk1M6xaMXQQwmh,192.168.7.205,52062,91.189.91.107,80,HTTP,0,"SHA1,MD5",text/html,-,0.000000,F,F,281,281,0,0,F,-,f2f9240db03281bce816817598cf215a,116dcd2b21c727a24c7f436e888286a407001fb9,-,-,-,-
1762166477.669920,FhZHCC0lSoT2Ws2Ol,Ccamuk3ffXErPQnt0l,192.168.7.101,53598,150.171.28.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,e54fdc72099c1703434bfad23e65a2c1,570526cb35b2db00919b80bc7296a761d3785e97,-,-,-,-
1762166566.589279,FZDTyXcwn3ElHxaFb,C0mGm8f2q1lFWtAsi,192.168.7.101,55630,150.171.28.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,e54fdc72099c1703434bfad23e65a2c1,570526cb35b2db00919b80bc7296a761d3785e97,-,-,-,-
1762166710.838355,Fmxa953VyCkqYxOsU8,Ckl8mL2Tkpuj1sSe5e,192.168.7.101,56127,52.123.129.14,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,fb70ba141e82dfa933fc9dfef2cd5046,0ec2db0540bdcb3442107827a3bd6d50f63707b5,-,-,-,-
1762166873.311688,F2JHHncBJoX95Zurd,CzflVz3kFAZzcN1EIa,192.168.7.101,58362,150.171.28.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,1e6611d61c669a27919e690144b40e6d,777636c37cdd8d0a7702fc860c768d55f361e156,-,-,-,-
1762166875.227321,F86ahy3UqMqCEj5z7f,CcB1lT2Is2r1xtOwj6,192.168.7.101,62168,20.143.38.0,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,e7fb84db6b5b54d287469676fec296a7,d21a41116313f9f8ac7556f1e0d72b221bce4dbc,-,-,-,-
1762166876.916156,FmhF891pAuqXdQ02Qi,CMu1kQ1luq8kEPWri,192.168.7.101,53663,20.190.160.130,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,471,-,0,0,F,-,d3a87af3ce068ed32476477c87f080d9,8931825451f3690fe85764404782132405b1d798,-,-,-,-
1762166921.109152,F8vuc63SepfUJQz75g,C6UCLb3NIiM34Q1kEi,192.168.7.101,51913,20.190.160.130,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,471,-,0,0,F,-,d3a87af3ce068ed32476477c87f080d9,8931825451f3690fe85764404782132405b1d798,-,-,-,-
1762166921.700890,FlZnfI327PthRzsQYj,CcFv5S0CRphMjrrck,192.168.7.101,51914,23.73.2.134,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1050,-,0,0,F,-,c826e449d05d0bbd23ebc480e231a21a,b8cbaf91a29e207120904312fec07d3700ed5e95,-,-,-,-
1762166937.556064,FlbYXM34zennM6dFjc,CfGpOMa1aMiFAo7Hk,192.168.7.101,61597,149.154.167.222,80,HTTP,0,"SHA1,MD5",-,-,0.000000,T,T,172,172,0,0,F,-,b1c321fea7e2b39dcd59d6d9e5fedff9,5e6362a41b17ee37d5fad7a36ff6ffac2b3a9429,-,-,-,-
1762166937.663298,FV18U93KMR1kVjGcAd,CfGpOMa1aMiFAo7Hk,192.168.7.101,61597,149.154.167.222,80,HTTP,0,"SHA1,MD5",-,-,0.000000,F,F,112,112,0,0,F,-,9b8ab0e4fb004e32faeacd42d456ea87,2555079a5a631cb466973fbff21f91ad1edf3136,-,-,-,-
1762166987.542611,Fru1Wf4hd3yompCp0k,CSvHUd2HqdDnVIWfta,192.168.7.101,56855,52.123.129.14,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,fb70ba141e82dfa933fc9dfef2cd5046,0ec2db0540bdcb3442107827a3bd6d50f63707b5,-,-,-,-
1762166987.777757,Fa7p4o4rQYrHULsEyi,CCfoAC3NiTCyFCC3l9,192.168.7.101,56857,52.110.6.165,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,d79e598ad6b5688e1c041a91a857174b,6fae737a4c6500dcf81e8ffdb413c9c4fcd4e65f,-,-,-,-
1762166988.385768,FlNZ7jEe9iYwwf73e,C2cRzo2wes0C7xLdR5,192.168.7.101,56858,52.109.89.119,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,3b6f3b5da37124fe198bd00a51267fd3,a1d3cf93a79bf5467bea6e257b6b6cbb53bcb068,-,-,-,-
1762166999.840413,F2H7hu4qiJuNbpbBRf,C1hzuPyB73kv4BF97,192.168.7.101,56861,52.111.243.29,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,b663e4ff8a3edbca8d185f735fc61666,2ecb8919fcd90072692f78d87a43d9b5ec30cf6f,-,-,-,-
1762167000.312191,FVA8jg2eoQOx1dpO2k,CYQKNQShVaxFqDRpl,192.168.7.101,56862,95.101.78.9,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1048,-,0,0,F,-,de0c759607eb9a38ce30070ba6368b3e,4581f389f53168260e84c0a11d611377650cc827,-,-,-,-
1762167034.576169,F6sRSE4DbRKDnsis05,CA02Ap15xzCGaeRi72,192.168.7.101,49189,150.171.28.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,ae30aea8549bdcdab2f28fdea16a57ea,02bcbebdba90c6d4e6933e9fba93340e004e5938,-,-,-,-
