ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,user,password,command,arg,mime_type,file_size,reply_code,reply_msg,data_channel.passive,data_channel.orig_h,data_channel.resp_h,data_channel.resp_p,fuid
1762174167.332862,COq9dL1jNZxa5tRQOi,192.168.7.101,62766,192.168.7.205,21,kwerty,<hidden>,EPSV,-,-,-,229,Entering Extended Passive Mode (|||49088|),T,192.168.7.101,192.168.7.205,49088,-
1762174284.955894,CfSGKG2B4r9OB2ZAf3,192.168.7.101,60547,192.168.7.205,21,kwerty,<hidden>,PASV,-,-,-,227,"Entering Passive Mode (192,168,7,205,68,68).",T,192.168.7.101,192.168.7.205,17476,-
1762174287.850422,CfSGKG2B4r9OB2ZAf3,192.168.7.101,60547,192.168.7.205,21,kwerty,<hidden>,PASV,-,-,-,227,"Entering Passive Mode (192,168,7,205,119,232).",T,192.168.7.101,192.168.7.205,30696,-
1762174289.265112,CfSGKG2B4r9OB2ZAf3,192.168.7.101,60547,192.168.7.205,21,kwerty,<hidden>,PASV,-,-,-,227,"Entering Passive Mode (192,168,7,205,152,88).",T,192.168.7.101,192.168.7.205,39000,-
1762174289.869377,CfSGKG2B4r9OB2ZAf3,192.168.7.101,60547,192.168.7.205,21,kwerty,<hidden>,PASV,-,-,-,227,"Entering Passive Mode (192,168,7,205,76,120).",T,192.168.7.101,192.168.7.205,19576,-
1762174291.688913,CfSGKG2B4r9OB2ZAf3,192.168.7.101,60547,192.168.7.205,21,kwerty,<hidden>,PASV,-,-,-,227,"Entering Passive Mode (192,168,7,205,145,116).",T,192.168.7.101,192.168.7.205,37236,-
1762174344.919351,CAietn1jBqR6OEs80h,192.168.7.101,51235,192.168.7.205,21,kwerty,<hidden>,PASV,-,-,-,227,"Entering Passive Mode (192,168,7,205,206,199).",T,192.168.7.101,192.168.7.205,52935,-
1762174344.921504,CAietn1jBqR6OEs80h,192.168.7.101,51235,192.168.7.205,21,kwerty,<hidden>,STOR,ftp://192.168.7.205/home/kwerty/Documents/MultyKey_AndoidStudio-master.zip,-,-,550,Permission denied.,-,-,-,-,-
1762174359.833292,CAietn1jBqR6OEs80h,192.168.7.101,51235,192.168.7.205,21,kwerty,<hidden>,PASV,-,-,-,227,"Entering Passive Mode (192,168,7,205,119,234).",T,192.168.7.101,192.168.7.205,30698,-
1762174359.835429,CAietn1jBqR6OEs80h,192.168.7.101,51235,192.168.7.205,21,kwerty,<hidden>,STOR,ftp://192.168.7.205/home/kwerty/Documents/MultyKey_AndoidStudio-master.zip,-,-,550,Permission denied.,-,-,-,-,-
