ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,referrer,version,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types
1762166163.595479,CxUd0I30yvzs1GyZgh,192.168.7.205,60602,185.125.190.97,80,1,GET,connectivity-check.ubuntu.com,/,-,1.1,-,-,0,0,204,No Content,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166265.045478,CXzQ5R30O1iNlrNwO5,192.168.7.205,41572,213.180.204.183,80,1,GET,ru.archive.ubuntu.com,/ubuntu/pool/main/s/siege/siege_4.0.7-1build3_amd64.deb,-,1.1,Debian APT-HTTP/1.3 (2.4.13) non-interactive,-,0,101992,200,OK,-,-,(empty),-,-,-,-,-,-,FGUiEAwdIYT4vztj6,-,application/x-debian-package
1762166286.226702,CuHTJ74I3RNFRffslb,192.168.7.101,61475,91.105.192.100,80,1,POST,91.105.192.100:80,/api,-,1.1,Mozilla/5.0,-,148,192,200,OK,-,-,(empty),-,-,-,FgTLIy1scIQ8hU8FRe,-,-,FT2WTq4dea7yN6JUwl,-,-
1762166343.498076,CodSd62Di6jeT6sv2b,192.168.7.205,40860,80.249.99.148,80,1,GET,ipv4.download.thinkbroadband.com,/100MB.zip,-,-,Wget/1.21.2,-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166344.606952,CwLB1a1BEZmUr33aX1,192.168.7.205,55006,80.249.99.148,80,1,GET,ipv4.download.thinkbroadband.com,/100MB.zip,-,-,Wget/1.21.2,-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166346.714952,Cnof144mXOlucSwXtg,192.168.7.205,55008,80.249.99.148,80,1,GET,ipv4.download.thinkbroadband.com,/100MB.zip,-,-,Wget/1.21.2,-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166349.828326,CPf0IOhgMVB7uFv87,192.168.7.205,55022,80.249.99.148,80,1,GET,ipv4.download.thinkbroadband.com,/100MB.zip,-,-,Wget/1.21.2,-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166353.941268,CNLzt61daRwXKtGiTg,192.168.7.205,45858,80.249.99.148,80,1,GET,ipv4.download.thinkbroadband.com,/100MB.zip,-,-,Wget/1.21.2,-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166359.048659,CXo21F1taRDOYjjscb,192.168.7.205,45874,80.249.99.148,80,1,GET,ipv4.download.thinkbroadband.com,/100MB.zip,-,-,Wget/1.21.2,-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166365.157602,C8ewLJ2SXtcAX38BEe,192.168.7.205,57572,80.249.99.148,80,1,GET,ipv4.download.thinkbroadband.com,/100MB.zip,-,-,Wget/1.21.2,-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166372.267152,CrYz3l4Z6nSP5EPlg1,192.168.7.205,57584,80.249.99.148,80,1,GET,ipv4.download.thinkbroadband.com,/100MB.zip,-,-,Wget/1.21.2,-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166380.378520,CUAVFw23aY2ptwJAXe,192.168.7.205,33338,80.249.99.148,80,1,GET,ipv4.download.thinkbroadband.com,/100MB.zip,-,-,Wget/1.21.2,-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166391.088784,Cu4QFk1M6xaMXQQwmh,192.168.7.205,52062,91.189.91.107,80,1,GET,releases.ubuntu.com,/22.04/ubuntu-22.04.3-desktop-amd64.iso,-,1.1,Wget/1.21.2,-,0,281,404,Not Found,-,-,(empty),-,-,-,-,-,-,Fd9WtW1sjOq30yFzni,-,text/html
1762166423.876220,Cg0VyC4YpV1mISpuSd,192.168.7.205,38164,80.249.99.148,80,1,GET,ipv4.download.thinkbroadband.com,/100MB.zip,-,-,Wget/1.21.2,-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166424.990212,CC12YK23TAYMzHeh0j,192.168.7.205,38174,80.249.99.148,80,1,GET,ipv4.download.thinkbroadband.com,/100MB.zip,-,-,Wget/1.21.2,-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166463.679141,CKdLrr4Vu11YkDXqSk,192.168.7.205,44244,91.189.91.97,80,1,GET,connectivity-check.ubuntu.com,/,-,1.1,-,-,0,0,204,No Content,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166763.596280,CM1gpa2Q1O68keJmv,192.168.7.205,39666,185.125.190.18,80,1,GET,connectivity-check.ubuntu.com,/,-,1.1,-,-,0,0,204,No Content,-,-,(empty),-,-,-,-,-,-,-,-,-
1762166937.556064,CfGpOMa1aMiFAo7Hk,192.168.7.101,61597,149.154.167.222,80,1,POST,149.154.167.222:80,/api,-,1.1,Mozilla/5.0,-,172,112,200,OK,-,-,(empty),-,-,-,FlbYXM34zennM6dFjc,-,-,FV18U93KMR1kVjGcAd,-,-
1762167047.184374,C3FEjbud3KgA7FR84,192.168.7.101,50701,142.250.150.94,80,1,GET,c.pki.goog,/r/r1.crl,-,1.1,Microsoft-CryptoAPI/10.0,-,0,993,200,OK,-,-,(empty),-,-,-,-,-,-,F2rtj04jz78WHJP052,-,-
1762167047.306910,CR1rQtVmG1Vedbs55,192.168.7.101,50702,23.199.249.50,80,1,GET,x1.c.lencr.org,/,-,1.1,Microsoft-CryptoAPI/10.0,-,0,0,304,Not Modified,-,-,(empty),-,-,-,-,-,-,-,-,-
1762167047.413264,CPk5nh2y4LGuwjzdY2,192.168.7.101,50703,199.232.214.172,80,1,GET,ctldl.windowsupdate.com,/msdownload/update/v3/static/trustedr/en/authrootstl.cab?de50c806a344187f,-,1.1,Microsoft-CryptoAPI/10.0,-,0,0,304,Not Modified,-,-,(empty),-,-,-,-,-,-,-,-,-
1762167047.451308,C3FEjbud3KgA7FR84,192.168.7.101,50701,142.250.150.94,80,2,GET,c.pki.goog,/r/gsr1.crl,-,1.1,Microsoft-CryptoAPI/10.0,-,0,0,304,Not Modified,-,-,(empty),-,-,-,-,-,-,-,-,-
1762167047.479814,C3FEjbud3KgA7FR84,192.168.7.101,50701,142.250.150.94,80,3,GET,c.pki.goog,/r/r4.crl,-,1.1,Microsoft-CryptoAPI/10.0,-,0,530,200,OK,-,-,(empty),-,-,-,-,-,-,FVEMel3jp5uz2GPTv4,-,-
1762167047.509945,CPk5nh2y4LGuwjzdY2,192.168.7.101,50703,199.232.214.172,80,2,GET,ctldl.windowsupdate.com,/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?4162de47c3b5452a,-,1.1,Microsoft-CryptoAPI/10.0,-,0,0,304,Not Modified,-,-,(empty),-,-,-,-,-,-,-,-,-
1762167062.180139,C8CarC12DpIqq4SJR6,192.168.7.101,55646,91.105.192.100,80,1,POST,91.105.192.100:80,/api,-,1.1,Mozilla/5.0,-,196,100,200,OK,-,-,(empty),-,-,-,FSCGGz4qzSxsHGqTl6,-,-,FjTUzWigMnhDkZbY8,-,-
1762167063.598177,CZogcE1DiGcsVoCYe9,192.168.7.205,37364,185.125.190.48,80,1,GET,connectivity-check.ubuntu.com,/,-,1.1,-,-,0,0,204,No Content,-,-,(empty),-,-,-,-,-,-,-,-,-
1762167154.261703,CzXVkj2FTXCBcHYQB9,192.168.7.101,57988,91.105.192.100,80,1,POST,91.105.192.100:80,/api,-,1.1,Mozilla/5.0,-,228,204,200,OK,-,-,(empty),-,-,-,FXxTII2oJwit6jktyc,-,-,FaLrxl3dZICf3PSiA3,-,-
1762167174.602834,CO2D3u2RQihu5XkVqi,192.168.7.101,56143,184.51.252.182,80,1,GET,clientconfig.akamai.steamstatic.com,/appinfo/700580/sha/77883ad9e03f9fb188e3239aabe9624572b6e289.txt.gz,-,-,Valve/Steam HTTP Client 1.0,-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-
1762167363.177387,CLXvfg2XGtB9SHrQ48,192.168.7.101,52140,91.105.192.100,80,1,POST,91.105.192.100:80,/api,-,1.1,Mozilla/5.0,-,264,152,200,OK,-,-,(empty),-,-,-,FChBGl60ThrnfFYvj,-,-,FGKpZJ39cXykSjhE2c,-,-
1762167363.608538,CexWWh3k4pXFiZqaI2,192.168.7.205,35200,185.125.190.98,80,1,GET,connectivity-check.ubuntu.com,/,-,1.1,-,-,0,0,204,No Content,-,-,(empty),-,-,-,-,-,-,-,-,-
1762167441.182036,CNLYDcv0cCPfvBzUa,192.168.7.101,65324,91.105.192.100,80,1,POST,91.105.192.100:80,/api,-,1.1,Mozilla/5.0,-,236,204,200,OK,-,-,(empty),-,-,-,FuqO5521iupR4kBFv,-,-,F2Nctv4UJRTfBF4Epb,-,-
1762167466.156230,CQDG863b3yXDH1TpZj,192.168.7.205,52648,3.211.176.227,80,1,GET,httpbin.org,/get,-,1.1,curl/7.81.0,-,0,256,200,OK,-,-,(empty),-,-,-,-,-,-,FqGk2v1ylhfKs4Tcz9,-,text/json
1762167490.766043,Cks1hX28lH2xP8qNA4,192.168.7.205,45690,3.211.176.227,80,1,GET,httpbin.org,/delay/1,-,1.1,curl/7.81.0,-,0,122,502,Bad Gateway,-,-,(empty),-,-,-,-,-,-,FwoiXjPNMcVOZBTZe,-,text/html
1762167490.286495,CiUqWr49B4uycrtbpg,192.168.7.205,49966,54.85.23.59,80,1,GET,httpbin.org,/delay/1,-,1.1,curl/7.81.0,-,0,306,200,OK,-,-,(empty),-,-,-,-,-,-,FvxAEe4yEHcepFv5pj,-,text/json
1762167490.302703,C4z2Voeuh4HCSRDGl,192.168.7.205,45632,3.211.176.227,80,1,GET,httpbin.org,/delay/1,-,1.1,curl/7.81.0,-,0,306,200,OK,-,-,(empty),-,-,-,-,-,-,FqTFzs3pGpUCbUlfN1,-,text/json
1762167490.463663,CsKsUz3Y6t4A0xmffi,192.168.7.205,57022,34.236.82.201,80,1,GET,httpbin.org,/delay/1,-,1.1,curl/7.81.0,-,0,306,200,OK,-,-,(empty),-,-,-,-,-,-,FS1U9J3WpE1ySreFEj,-,text/json
1762167490.217868,CVXxEA2mi7oEGdsvLe,192.168.7.205,56996,34.236.82.201,80,1,GET,httpbin.org,/delay/1,-,1.1,curl/7.81.0,-,0,306,200,OK,-,-,(empty),-,-,-,-,-,-,Fsk8NZ2CAJlDfygh5l,-,text/json
1762167490.362787,CIQ9sP3x3sA0cYsQI2,192.168.7.205,45646,3.211.176.227,80,1,GET,httpbin.org,/delay/1,-,1.1,curl/7.81.0,-,0,306,200,OK,-,-,(empty),-,-,-,-,-,-,Fnp6No3bkH2QSyuA4a,-,text/json
1762167490.449393,CjnNy71rJkDC0U5R6a,192.168.7.205,45650,3.211.176.227,80,1,GET,httpbin.org,/delay/1,-,1.1,curl/7.81.0,-,0,306,200,OK,-,-,(empty),-,-,-,-,-,-,FC69pa1BcR8bZUKAu2,-,text/json
1762167491.458814,CzqVnSgrF4MiKl5Ab,192.168.7.205,51054,52.20.222.128,80,1,GET,httpbin.org,/delay/1,-,1.1,curl/7.81.0,-,0,306,200,OK,-,-,(empty),-,-,-,-,-,-,FoKrQ4iALHYkHLX8c,-,text/json
1762167490.549640,CgM0J9S871kHGaXPi,192.168.7.205,45662,3.211.176.227,80,1,GET,httpbin.org,/delay/1,-,1.1,curl/7.81.0,-,0,306,200,OK,-,-,(empty),-,-,-,-,-,-,F5ZNLZ3YdubsK02rc7,-,text/json
1762167490.297609,CqbARJ20e6LHE0dQzl,192.168.7.205,51010,52.20.222.128,80,1,GET,httpbin.org,/delay/1,-,1.1,curl/7.81.0,-,0,306,200,OK,-,-,(empty),-,-,-,-,-,-,FZwTRL2fsvPq4dusml,-,text/json
1762167490.605739,CyQpRs3goqyOLgkxak,192.168.7.205,57072,34.236.82.201,80,1,GET,httpbin.org,/delay/1,-,1.1,curl/7.81.0,-,0,306,200,OK,-,-,(empty),-,-,-,-,-,-,Frjp4z33HyuigmY2Kb,-,text/json
1762167490.131044,CwYyqU3FaC7EcTiSV9,192.168.7.205,56992,34.236.82.201,80,1,GET,httpbin.org,/delay/1,-,1.1,curl/7.81.0,-,0,306,200,OK,-,-,(empty),-,-,-,-,-,-,FkbXVU3wltWSEn3D4k,-,text/json
