ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,fuid,file_mime_type,file_desc,proto,note,msg,sub,src,dst,p,n,peer_descr,actions,email_dest,suppress_for,remote_location.country_code,remote_location.region,remote_location.city,remote_location.latitude,remote_location.longitude
1762166225.569948,CDtRLF1CUjEYWr4Xb6,192.168.7.101,58998,20.50.80.209,443,FkQsXD1kGRRdddUaDk,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),"CN=*.events.data.microsoft.com,OU=WSE,O=Microsoft,L=Redmond,ST=WA,C=US",192.168.7.101,20.50.80.209,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762166305.815117,COFCrw1IixqeUqUP01,192.168.7.205,55260,88.198.248.254,443,FM3vqO2NpFNIbaGH52,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (certificate has expired),CN=*.hetzner.de,192.168.7.205,88.198.248.254,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762166901.089995,CJN2Np4rrjPlU8Z4K1,192.168.7.101,63377,4.208.165.248,443,F89uIvzhzWyLJbGvf,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),CN=wdcp.microsoft.com,192.168.7.101,4.208.165.248,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762167120.974320,-,-,-,-,-,-,-,-,-,CaptureLoss::Too_Much_Loss,The capture loss script detected an estimated loss rate above 35.879%,-,-,-,-,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762167333.556641,COXXpR2XN7kLR3pzE2,192.168.7.101,62358,104.208.16.91,443,FeqQMbIOCyIeWEU8i,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),"CN=*.events.data.microsoft.com,OU=WSE,O=Microsoft,L=Redmond,ST=WA,C=US",192.168.7.101,104.208.16.91,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762168020.974449,-,-,-,-,-,-,-,-,-,CaptureLoss::Too_Much_Loss,The capture loss script detected an estimated loss rate above 48.904%,-,-,-,-,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762168388.890122,C92YxXJ1evzY0sQT7,192.168.7.101,57533,4.231.128.59,443,FbOHzX1nuGrlaLdK7,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),"CN=settings-win.data.microsoft.com,OU=WSE,O=Microsoft,L=Redmond,ST=WA,C=US",192.168.7.101,4.231.128.59,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762168662.912973,CsGFciRkiXw89Oph4,192.168.7.101,63520,20.50.73.12,443,FUjyvq4dMeEzsNZKia,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),"CN=*.events.data.microsoft.com,OU=WSE,O=Microsoft,L=Redmond,ST=WA,C=US",192.168.7.101,20.50.73.12,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762168920.974987,-,-,-,-,-,-,-,-,-,CaptureLoss::Too_Much_Loss,The capture loss script detected an estimated loss rate above 29.201%,-,-,-,-,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762169820.975423,-,-,-,-,-,-,-,-,-,CaptureLoss::Too_Much_Loss,The capture loss script detected an estimated loss rate above 24.588%,-,-,-,-,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762170463.550370,CDAFHr3Zfxec7VqEsc,192.168.7.101,53591,20.189.173.12,443,Fz61Bk3RnDGFcMnJmd,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),"CN=*.events.data.microsoft.com,OU=WSE,O=Microsoft,L=Redmond,ST=WA,C=US",192.168.7.101,20.189.173.12,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762170671.422809,C7n2rP2guE9vPc0d89,192.168.7.101,52512,40.127.240.158,443,FnKs07cVbLvz1Kcub,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),"CN=settings-win.data.microsoft.com,OU=WSE,O=Microsoft,L=Redmond,ST=WA,C=US",192.168.7.101,40.127.240.158,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762170720.977202,-,-,-,-,-,-,-,-,-,CaptureLoss::Too_Much_Loss,The capture loss script detected an estimated loss rate above 53.910%,-,-,-,-,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762171573.501089,CbYDXh1hfszJa8RbQ,192.168.7.101,52720,13.89.179.11,443,FLjEht1PcAz9DqEAZ,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),"CN=*.events.data.microsoft.com,OU=WSE,O=Microsoft,L=Redmond,ST=WA,C=US",192.168.7.101,13.89.179.11,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762171620.978655,-,-,-,-,-,-,-,-,-,CaptureLoss::Too_Much_Loss,The capture loss script detected an estimated loss rate above 52.804%,-,-,-,-,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762172520.979958,-,-,-,-,-,-,-,-,-,CaptureLoss::Too_Much_Loss,The capture loss script detected an estimated loss rate above 51.361%,-,-,-,-,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762172536.993784,CFec7a1kJPN9bHmLii,192.168.7.101,61390,20.73.194.208,443,FjNWQyTVea96S6fTe,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),"CN=settings-win.data.microsoft.com,OU=WSE,O=Microsoft,L=Redmond,ST=WA,C=US",192.168.7.101,20.73.194.208,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762172734.860658,CmZSKWl6gquv9oV8d,192.168.7.101,55802,13.69.116.108,443,FC1lcI3zHocCPAhTK3,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),"CN=*.events.data.microsoft.com,OU=WSE,O=Microsoft,L=Redmond,ST=WA,C=US",192.168.7.101,13.69.116.108,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762173420.982186,-,-,-,-,-,-,-,-,-,CaptureLoss::Too_Much_Loss,The capture loss script detected an estimated loss rate above 54.064%,-,-,-,-,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762174063.102433,CRqz6A3zib4hzswUVf,192.168.7.101,52965,20.189.173.11,443,F6iRvh4ibQp4GNaS55,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),"CN=*.events.data.microsoft.com,OU=WSE,O=Microsoft,L=Redmond,ST=WA,C=US",192.168.7.101,20.189.173.11,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762174260.024110,CQoBm52cC7lM0ZkJ3a,192.168.7.101,56541,51.124.78.146,443,FXlFntuzSjXpDKZ27,-,-,tcp,SSL::Invalid_Server_Cert,SSL certificate validation failed with (unable to get local issuer certificate),"CN=settings-win.data.microsoft.com,OU=WSE,O=Microsoft,L=Redmond,ST=WA,C=US",192.168.7.101,51.124.78.146,443,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762174320.982244,-,-,-,-,-,-,-,-,-,CaptureLoss::Too_Much_Loss,The capture loss script detected an estimated loss rate above 48.061%,-,-,-,-,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
1762175220.984751,-,-,-,-,-,-,-,-,-,CaptureLoss::Too_Much_Loss,The capture loss script detected an estimated loss rate above 31.402%,-,-,-,-,-,-,Notice::ACTION_LOG,(empty),3600.000000,-,-,-,-,-
