ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,mode,stratum,poll,precision,root_delay,root_disp,ref_id,ref_time,org_time,rec_time,xmt_time,num_exts
1762166911.114484,C4XQDk20PK8Pf5zMQ7,192.168.7.205,57584,185.125.190.58,123,4,3,0,1.000000,1.000000,0.000000,0.000000,\x00\x00\x00\x00,0.000000,0.000000,0.000000,1762166911.026649,0
1762166911.170786,C4XQDk20PK8Pf5zMQ7,192.168.7.205,57584,185.125.190.58,123,4,4,2,1.000000,0.000000,0.000977,0.000229,183.160.133.132,1762166873.460187,1762166911.026649,1762166911.142976,1762166911.143002,0
1762168959.364368,CGG26g2M2owm939Cj,192.168.7.205,53160,185.125.190.58,123,4,3,0,1.000000,1.000000,0.000000,0.000000,\x00\x00\x00\x00,0.000000,0.000000,0.000000,1762168959.084827,0
1762168959.417947,CGG26g2M2owm939Cj,192.168.7.205,53160,185.125.190.58,123,4,4,2,1.000000,0.000000,0.000977,0.000259,183.160.133.132,1762168940.943685,1762168959.084827,1762168959.394083,1762168959.394094,0
1762171007.613980,CVhmfdVezDuIjy1ga,192.168.7.205,34949,185.125.190.58,123,4,3,0,1.000000,1.000000,0.000000,0.000000,\x00\x00\x00\x00,0.000000,0.000000,0.000000,1762171007.142948,0
1762171007.667593,CVhmfdVezDuIjy1ga,192.168.7.205,34949,185.125.190.58,123,4,4,2,1.000000,0.000000,0.000946,0.000366,183.160.133.132,1762170881.959989,1762171007.142948,1762171007.639358,1762171007.639409,0
1762173055.863604,CmXZ904vs9Jw4sqw2,192.168.7.205,34280,185.125.190.58,123,4,3,0,1.000000,1.000000,0.000000,0.000000,\x00\x00\x00\x00,0.000000,0.000000,0.000000,1762173055.201066,0
1762173055.917165,CmXZ904vs9Jw4sqw2,192.168.7.205,34280,185.125.190.58,123,4,4,2,1.000000,0.000000,0.001007,0.000351,183.160.133.132,1762173012.641172,1762173055.201066,1762173055.890759,1762173055.891068,0
1762175104.114032,CG0hL21CFvUu5e05T2,192.168.7.205,50190,185.125.190.58,123,4,3,0,1.000000,1.000000,0.000000,0.000000,\x00\x00\x00\x00,0.000000,0.000000,0.000000,1762175104.026544,0
1762175104.167170,CG0hL21CFvUu5e05T2,192.168.7.205,50190,185.125.190.58,123,4,4,2,1.000000,0.000000,0.000992,0.000336,183.160.133.132,1762175082.615650,1762175104.026544,1762175104.139808,1762175104.139821,0
