ts,host,host_p,software_type,name,version.major,version.minor,version.minor2,version.minor3,version.addl,unparsed_version
1762166265.045478,192.168.7.205,-,HTTP::BROWSER,Debian APT-HTTP,1,3,-,-,2.4.13,Debian APT-HTTP/1.3 (2.4.13) non-interactive
1762166286.226702,192.168.7.101,-,HTTP::BROWSER,<unknown browser>,-,-,-,-,-,Mozilla/5.0
1762166343.498076,192.168.7.205,-,HTTP::BROWSER,Wget,1,21,2,-,-,Wget/1.21.2
1762167047.184374,192.168.7.101,-,HTTP::BROWSER,Microsoft-CryptoAPI,10,0,-,-,-,Microsoft-CryptoAPI/10.0
1762167174.602834,192.168.7.101,-,HTTP::BROWSER,Valve/Steam HTTP Client,1,0,-,-,-,Valve/Steam HTTP Client 1.0
1762167466.156230,192.168.7.205,-,HTTP::BROWSER,curl,7,81,0,-,-,curl/7.81.0
1762167560.546971,192.168.7.101,-,HTTP::BROWSER,Chrome,142,0,0,0,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
1762167609.565119,192.168.7.101,-,SSH::CLIENT,OpenSSH_for_Windows,9,5,-,-,-,OpenSSH_for_Windows_9.5
1762167609.575150,192.168.7.205,22,SSH::SERVER,OpenSSH,8,9,-,-,p1,OpenSSH_8.9p1 Ubuntu-3ubuntu0.13
1762171166.236463,192.168.7.205,80,HTTP::SERVER,nginx,1,18,0,-,Ubuntu,nginx/1.18.0 (Ubuntu)
1762173398.919201,192.168.7.101,-,HTTP::BROWSER,curl,8,16,0,-,-,curl/8.16.0
1762173423.423298,192.168.7.101,-,HTTP::BROWSER,Wget,1,21,2,-,-,Wget/1.21.2
1762173648.550890,192.168.7.101,-,SSH::CLIENT,OpenSSH,8,9,-,-,p1,OpenSSH_8.9p1 Ubuntu-3ubuntu0.10
