ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status
1762166179.312059,CrdIg01R8kuM7OHrjk,192.168.7.101,55951,64.233.164.95,443,TLSv13,TLS_AES_256_GCM_SHA384,X25519MLKEM768,addons-pa.clients6.google.com,T,-,-,T,CsiI,-,-,-,-
1762166179.512784,CqXs7r2WCeOd2jHMD4,192.168.7.101,56508,40.114.178.124,443,TLSv13,TLS_AES_256_GCM_SHA384,X25519MLKEM768,staticcdn.duckduckgo.com,T,-,-,T,CsiI,-,-,-,-
1762166181.749434,CV3Sf44yfiuxzWFkrl,192.168.7.101,55709,13.107.6.158,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,turing-writingassistance.edge.microsoft.com,F,-,-,T,CjiICs,-,-,-,-
1762166201.369790,C88ysF3gQZ0cvK2IAd,192.168.7.101,58997,64.233.164.94,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,ssl.gstatic.com,T,-,-,T,CsiI,-,-,-,-
1762166224.522066,CDtRLF1CUjEYWr4Xb6,192.168.7.101,58998,20.50.80.209,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,v10.events.data.microsoft.com,F,-,h2,T,CsxknGIi,"5d5409cf7e4f1fa93801cc01ff839516f79699cebc3130c4896ef51b170db2f2,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129",(empty),T,unable to get local issuer certificate
1762166233.641467,CdIkap2Q1aSzG5yqa,192.168.7.101,50157,87.119.18.27,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,static.deepseek.com,T,-,-,T,CsiI,-,-,-,-
1762166235.057224,CCpnmz17JPcl4hsuzf,192.168.7.101,50365,47.246.2.226,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,apmplus.volces.com,T,-,-,T,CsiI,-,-,-,-
1762166264.643113,C2EFs51qtigm2XAVL7,192.168.7.101,50366,48.209.180.244,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,signals.urs.microsoft.com,F,-,h2,T,CsxuknGIti,"31711eea5e4ac68e4975fef07c57a1f94a6477d968b7ea17d03b4a025e3b1df5,33f9731be910a66dc6acd07d9d9ca212ee8d0a9a5c78c8bf3e89bb74df8fb936,cb3ccbb76031e5e0138f8dd39a23f9de47ffc35e43c1144cea27d46a5ab1cb5f",(empty),T,ok
1762166276.307302,C0pi0B1o413anCSbXg,192.168.7.101,61037,104.21.44.169,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,sponsor.ajay.app,T,-,-,T,CsiI,-,-,-,-
1762166276.776699,CuhjsR1Jnz37pOEWe9,192.168.7.101,60810,216.58.206.86,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,i.ytimg.com,F,-,-,T,CsiI,-,-,-,-
1762166276.778762,C7YIwc4AIXfVDlS1m7,192.168.7.101,52033,142.250.184.238,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,i1.ytimg.com,T,-,-,T,CsiI,-,-,-,-
1762166276.798184,CrydkG1X1lJiMVB3ce,192.168.7.101,61473,142.250.185.65,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,yt3.ggpht.com,T,-,-,T,CsiI,-,-,-,-
1762166276.776199,CP8SIZ1gUYrTZ4sdu,192.168.7.101,55351,216.58.206.86,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,i.ytimg.com,T,-,-,F,Csi,-,-,-,-
1762166276.776199,CNooIxshgRHLTPKf,192.168.7.101,56009,216.58.206.86,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,i.ytimg.com,T,-,-,F,Csi,-,-,-,-
1762166276.776433,CLqUZIzTeQRQZ2Xua,192.168.7.101,57777,216.58.206.86,443,-,-,-,i.ytimg.com,F,-,-,F,C,-,-,-,-
1762166285.847303,CRdJkA10sFof3QfZ9,192.168.7.205,45298,64.233.162.102,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,google.com,F,-,-,T,CsiI,-,-,-,-
1762166285.847703,C1ljE81S0uvbB28Ncd,192.168.7.205,45292,64.233.162.102,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,google.com,F,-,-,T,CsiI,-,-,-,-
1762166285.849304,CZITFk3gIhJmFFZILl,192.168.7.205,45286,64.233.162.102,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,google.com,F,-,-,T,CsiI,-,-,-,-
1762166285.848925,CETRZd2BXTRoJIaML1,192.168.7.205,45308,64.233.162.102,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,google.com,F,-,-,T,CsiI,-,-,-,-
1762166285.848239,CAU87i4P5UTRiOBRgl,192.168.7.205,45310,64.233.162.102,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,google.com,F,-,-,T,CsiI,-,-,-,-
1762166286.138742,CI9PCeOsLcMX9q4X9,192.168.7.205,42522,74.125.131.106,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.google.com,F,-,-,T,CsiI,-,-,-,-
1762166286.142115,CWSZh139SQYBE0xujg,192.168.7.205,42532,74.125.131.106,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.google.com,F,-,-,T,CsiI,-,-,-,-
1762166286.140668,Cx1kDs1XKM3cRBnbQh,192.168.7.205,42496,74.125.131.106,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.google.com,F,-,-,T,CsiI,-,-,-,-
1762166286.142705,CIiiNJJh6kUJo7Dp9,192.168.7.205,42512,74.125.131.106,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.google.com,F,-,-,T,CsiI,-,-,-,-
1762166286.141352,Cjv5ce9BbVt0d6mzb,192.168.7.205,42508,74.125.131.106,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.google.com,F,-,-,T,CsiI,-,-,-,-
1762166286.312198,Cm0vEGzg2CQnUNtDl,192.168.7.205,42534,74.125.131.106,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.google.com,F,-,-,T,CsiI,-,-,-,-
1762166286.325072,CJMIZzPxqq0kB62Na,192.168.7.205,42542,74.125.131.106,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.google.com,F,-,-,T,CsiI,-,-,-,-
1762166286.328287,CkCGNG1H5BSWIYcJci,192.168.7.205,37238,74.125.131.104,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.google.com,F,-,-,T,CsiI,-,-,-,-
1762166286.331584,CNCFFr2YwIMp8EG4S4,192.168.7.205,42556,74.125.131.106,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.google.com,F,-,-,T,CsiI,-,-,-,-
1762166286.339129,CaxQpN1bBvhbnjMz9c,192.168.7.205,47194,74.125.131.105,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.google.com,F,-,-,T,CsiI,-,-,-,-
1762166286.406690,Ckq6w41BayML4QfOcg,192.168.7.205,45792,74.125.131.103,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.google.com,F,-,-,T,CsiI,-,-,-,-
