ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,name,addl,notice,peer,source
1762166388.833459,CE8Cah3GVU2rKv09j9,192.168.7.101,63644,173.194.3.38,443,truncated_tcp_payload,-,F,zeek,TCP
1762166391.745499,CJtsPSFs9XONp3D27,192.168.7.101,64986,74.125.105.199,443,truncated_tcp_payload,-,F,zeek,TCP
1762166392.211603,Cu4QFk1M6xaMXQQwmh,192.168.7.205,52062,91.189.91.107,80,SYN_after_close,-,F,zeek,TCP
1762166447.847244,CzuTx23MIAbuhIMYf3,192.168.7.101,53587,74.125.168.70,443,truncated_tcp_payload,-,F,zeek,TCP
1762166476.740445,CJQW324atFKxaK4ti,192.168.7.101,58177,184.51.252.47,443,window_recision,-,F,zeek,-
1762166488.146765,Cdv8C44PXU0aAejJE5,192.168.7.101,63723,184.51.252.58,443,window_recision,-,F,zeek,-
1762166488.152649,Cfdqws22CQw5e5cAaa,192.168.7.101,58683,184.51.252.58,443,window_recision,-,F,zeek,-
1762166488.396186,C1Kc7T3KUxWZsL0tse,192.168.7.101,55015,51.116.246.104,443,truncated_tcp_payload,-,F,zeek,TCP
1762166510.099513,C7FQ694qzCecc1E81b,192.168.7.101,62610,2.23.167.107,443,window_recision,-,F,zeek,-
1762166547.837456,C2Efyiyc7vifnNjna,192.168.7.101,64985,142.250.186.142,443,truncated_tcp_payload,-,F,zeek,TCP
1762166549.740561,CwREWF1lNqcZCs5SX3,192.168.7.101,55494,74.125.168.73,443,truncated_tcp_payload,-,F,zeek,TCP
1762166563.477011,CxddiM2ES6CSAjpe9c,192.168.7.101,59476,99.84.91.11,443,truncated_tcp_payload,-,F,zeek,TCP
1762166592.929473,CCZWNa2pDRmq4yyGYd,192.168.7.101,59821,54.230.228.18,443,window_recision,-,F,zeek,-
1762166602.590099,CodSBr4o9CVGTcTWqf,192.168.7.101,56141,20.42.73.27,443,truncated_tcp_payload,-,F,zeek,TCP
1762166612.544160,CZLQigkFP8GwuKnVf,192.168.7.101,62495,173.194.190.135,443,truncated_tcp_payload,-,F,zeek,TCP
1762166619.426862,CxgcV01WbpY8GDNyfg,192.168.7.101,52455,3.164.68.103,443,truncated_tcp_payload,-,F,zeek,TCP
1762166648.932209,C45DUNumr4FCOS6e5,192.168.7.101,58503,184.51.252.58,443,window_recision,-,F,zeek,-
1762166649.134743,CHqLszmkTyNZqKBO9,192.168.7.101,64506,20.189.173.25,443,truncated_tcp_payload,-,F,zeek,TCP
1762166649.532326,COX53h3Dl44DSQpti8,192.168.7.101,52835,65.9.86.59,443,truncated_tcp_payload,-,F,zeek,TCP
1762166652.829296,CYnGPA35LZRgfvTQO7,192.168.7.101,64966,173.194.3.8,443,truncated_tcp_payload,-,F,zeek,TCP
1762166674.624907,CeMGhB3u8oGqIlErs9,192.168.7.101,61706,2.23.167.33,443,truncated_tcp_payload,-,F,zeek,TCP
1762166675.150593,CFjcV936XsG8MdiSt6,192.168.7.101,54885,2.23.167.107,443,window_recision,-,F,zeek,-
1762166675.158749,Cmo5xpkagk58x6R28,192.168.7.101,55154,2.23.167.107,443,window_recision,-,F,zeek,-
1762166675.273906,COM5mX2p8txXvHNDCa,192.168.7.101,57945,184.51.252.27,443,window_recision,-,F,zeek,-
1762166725.608214,CXoWuDCxxE5Qkq1Wj,192.168.7.101,58085,173.194.190.106,443,truncated_tcp_payload,-,F,zeek,TCP
1762166732.009147,CIIYpx0OMWhe880Kd,192.168.7.101,63262,74.125.105.199,443,truncated_tcp_payload,-,F,zeek,TCP
1762166740.889868,CtQ67337nYFWMi3by,192.168.7.101,60103,173.194.3.40,443,truncated_tcp_payload,-,F,zeek,TCP
1762166770.225853,CSCxcd34y7EfEbYQce,192.168.7.101,58507,74.125.168.73,443,truncated_tcp_payload,-,F,zeek,TCP
1762166856.144275,CeXQ4M1EQBcyc6FhHi,192.168.7.101,62729,184.51.252.54,443,window_recision,-,F,zeek,-
1762166867.938515,CEZA5x2xisnQhbpra,192.168.7.101,58885,184.51.252.61,443,window_recision,-,F,zeek,-
1762166867.946156,C7fiYW3CN0esNUYRU8,192.168.7.101,64650,184.51.252.61,443,window_recision,-,F,zeek,-
1762166868.142535,CYRNvC3yMzSGIQliUd,192.168.7.101,56915,184.51.252.49,443,window_recision,-,F,zeek,-
1762166868.309192,CRLNSq1O7HFSPIWsh,192.168.7.101,59489,184.51.252.46,443,truncated_tcp_payload,-,F,zeek,TCP
1762166872.463079,CKMsRd2d1tl2qZ9l8,192.168.7.101,64709,140.82.121.4,443,truncated_tcp_payload,-,F,zeek,TCP
1762166872.906408,CUmNupctSjNdAPNca,192.168.7.101,53876,185.199.108.154,443,truncated_tcp_payload,-,F,zeek,TCP
1762166885.314326,CTC6Vi2JY0HwScMUOb,192.168.7.101,52625,140.82.121.9,443,truncated_tcp_payload,-,F,zeek,TCP
