ts,fingerprint,certificate.version,certificate.serial,certificate.subject,certificate.issuer,certificate.not_valid_before,certificate.not_valid_after,certificate.key_alg,certificate.sig_alg,certificate.key_type,certificate.key_length,certificate.exponent,certificate.curve,san.dns,san.uri,san.email,san.ip,basic_constraints.ca,basic_constraints.path_len,host_cert,client_cert
1762166225.384815,5d5409cf7e4f1fa93801cc01ff839516f79699cebc3130c4896ef51b170db2f2,3,33000003A322FF814CF22F6FD70000000003A3,"CN=*.events.data.microsoft.com,OU=WSE,O=Microsoft,L=Redmond,ST=WA,C=US","CN=Microsoft Secure Server CA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US",1747449074.000000,1778985074.000000,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.events.data.microsoft.com,events.data.microsoft.com,*.vortex-win.data.microsoft.com,vortex-win.data.microsoft.com,*.vortex.data.microsoft.com,vortex.data.microsoft.com,*.events.data.microsoft.us,events.data.microsoft.us,*.vortex-win.data.microsoft.us,vortex-win.data.microsoft.us,*.vortex.data.microsoft.us,vortex.data.microsoft.us,*.events.endpoint.security.microsoft.us,events.endpoint.security.microsoft.us,*.events.endpoint.security.microsoft.com,events.endpoint.security.microsoft.com",-,-,-,F,-,T,F
1762166265.345529,31711eea5e4ac68e4975fef07c57a1f94a6477d968b7ea17d03b4a025e3b1df5,3,3302DD235C64F6B6255E95B52D000002DD235C,"CN=smartscreen.microsoft.com,O=Microsoft Corporation,L=Redmond,ST=WA,C=US","CN=Microsoft Azure RSA TLS Issuing CA 04,O=Microsoft Corporation,C=US",1759977477.000000,1775529477.000000,rsaEncryption,sha384WithRSAEncryption,rsa,2048,65537,-,"smartscreen.microsoft.com,*.wds.microsoft.com,*.urs.microsoft.com,*.smartscreen.microsoft.com,apprep.smartscreen.microsoft.com,beta.apprep.smartscreen.microsoft.com,beta.w.apprep.smartscreen.microsoft.com,w.apprep.smartscreen.microsoft.com,urs.microsoft.com,beta.urs.microsoft.com,c.urs.microsoft.com,i.apprep.smartscreen.microsoft.com,i.w.apprep.smartscreen.microsoft.com,t.urs.microsoft.com,beta.t.urs.microsoft.com,telemetry.urs.microsoft.com,d.urs.microsoft.com,x.urs.microsoft.com,p.urs.microsoft.com,api.smartscreen.microsoft.com,urs.smartscreen.microsoft.com,ars.smartscreen.microsoft.com,cp.smartscreen.microsoft.com,checkappexec.microsoft.com,data.checkappexec.microsoft.com,ping.checkappexec.microsoft.com,t.checkappexec.microsoft.com,pf.checkappexec.microsoft.com,sl.smartscreen.microsoft.com,ping.smartscreen.microsoft.com,nf.smartscreen.microsoft.com,data.nf.smartscreen.microsoft.com,ping.nf.smartscreen.microsoft.com,t.nf.smartscreen.microsoft.com,nav.smartscreen.microsoft.com,data.nav.smartscreen.microsoft.com,ping.nav.smartscreen.microsoft.com,t.nav.smartscreen.microsoft.com,bf.smartscreen.microsoft.com,t.bf.smartscreen.microsoft.com,smartscreen-prod.microsoft.com,*.smartscreen-prod.microsoft.com",-,-,-,F,-,T,F
1762166305.759058,14b2667fbab4899c578499f7218d75dd9212a17df69535f59276de4659f3692e,3,0F2FFB40CBF0D10D76ADF1C45C275438,CN=*.hetzner.de,"CN=Thawte TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",1694476800.000000,1728431999.000000,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.hetzner.de,hetzner.de",-,-,-,F,-,T,F
1762166321.954003,4501e8644d431476ce44a70e702647a2fb4d374c5ff9fa374e38de955bb6563b,3,330000C063B1AEB4CA68183ADF00000000C063,"CN=catalog.gamepass.com,O=Microsoft Corporation,L=Redmond,ST=WA,C=US","CN=Microsoft Azure ECC TLS Issuing CA 07,O=Microsoft Corporation,C=US",1743012761.000000,1774116761.000000,id-ecPublicKey,ecdsa-with-SHA384,ecdsa,256,-,prime256v1,"catalog-beta.gamepass.com,catalog-dev.gamepass.com,catalog-ppe.gamepass.com,catalog.gamepass.com",-,-,-,F,-,T,F
1762166331.723137,e43edc79c7e04bfcfd8d0f3dfcacd3063ac61391e270d8c407b65f391be0006f,3,330274AA52EF578599D671295600000274AA52,"CN=edge.microsoft.com,O=Microsoft Corporation,L=Redmond,ST=WA,C=US","CN=Microsoft Azure RSA TLS Issuing CA 07,O=Microsoft Corporation,C=US",1759363055.000000,1774915055.000000,rsaEncryption,sha384WithRSAEncryption,rsa,2048,65537,-,edge.microsoft.com,-,-,-,F,-,T,F
1762166337.095291,dca88d580b67dacc95e6c8e297e42a1c38d2642e53d31fe830bc99778c08b5f6,3,3302E9564EBD26E8FF8F48C664000002E9564E,"CN=ecs.office.com,O=Microsoft Corporation,L=Redmond,ST=WA,C=US","CN=Microsoft Azure RSA TLS Issuing CA 03,O=Microsoft Corporation,C=US",1760823978.000000,1776375978.000000,rsaEncryption,sha384WithRSAEncryption,rsa,2048,65537,-,"*.ecs.office.com,ecs.office.com",-,-,-,F,-,T,F
1762166875.227321,9262b6ab1eba216d27a845e71e8022412abec6f0ffd01b777bfb75ae6d5afaab,3,33029F90AA1BCA4F98C96CF4750000029F90AA,"CN=storage.live.com,O=Microsoft Corporation,L=Redmond,ST=WA,C=US","CN=Microsoft Azure RSA TLS Issuing CA 07,O=Microsoft Corporation,C=US",1761429993.000000,1776981993.000000,rsaEncryption,sha384WithRSAEncryption,rsa,2048,65537,-,"storage.live.com,l-df.live.net,l.live.net,api.live.com,api.live.net,docs.live.net,skyapi.live.net,api-df.live.com,api-df.live.net,docs-df.live.net,skyapi-df.live.net,*.ra.live.com,*.cobalt.df.storage.msn.com,*.cobalt.df.storage.live.com,*.cobalt.storage.msn.com,*.df.storage.live.com,*.df.storage.msn.com,*.docs-df.live.net,*.storage.live.com,*.storage.msn.com,*.users.df.storage.live.com,*.users.df.storage.msn.com,*.users.storage.live.com,*.users.storage.msn.com,*.df.policies.live.net,df.policies.live.net,*.df.settings.live.net,df.settings.live.net,*.df.livefilestore.com,apis.live.net,*.apis.live.net,*.bay.livefilestore.com,*.livefilestore.com,ssw.live-int.com,ssw.live.com,df.storage.live.com,*.sn2.df.livefilestore.com,*.blu.livefilestore.com,*.bn1.livefilestore.com,*.cobalt.storage.live.com,*.dm1.livefilestore.com,*.docs.live.net,*.policies.live.net,*.settings.live.net,*.sn2.livefilestore.com,*.tuk.livefilestore.com,policies.live.net,storage.msn.com,dev.live.com,oauth.live.com,*.bn1301.livefilestore.com,*.bn1302.livefilestore.com,*.dm2301.livefilestore.com,*.dm2302.livefilestore.com,skyapi.skydrive.live.com,settings.live.net,*.bn1303.livefilestore.com,*.bn1304.livefilestore.com,*.dm2303.livefilestore.com,*.dm2304.livefilestore.com,*.by3301.livefilestore.com,*.by3302.livefilestore.com,*.snt002.df.livefilestore.com,*.bn1303.df.livefilestore.com,*.dm2303.df.livefilestore.com,skyapi.newdrive.live.com,skyapi.onedrive.live.com,*.files.1drv.com,*.bl3301.livefilestore.com,*.bl3302.livefilestore.com,*.bn1391soak2.livefilestore.com,*.dm2391soak2.livefilestore.com,*.bn1391soak3.livefilestore.com,*.dm2391soak3.livefilestore.com,*.files-df.1drv.com,*.api.onedrive.com,df.api.onedrive.com,*.df.api.onedrive.com,*.s2s-storage.live.com,*.s2s-policies.live.net,s2s-policies.live.net,s2s-settings.live.net,*.s2s-settings.live.net,*.config.live.net,config.live.net,register.mesh.com,*.df.s2s-storage.live.com,*.df.s2s-settings.live.net,df.s2s-settings.live.net,s2s-storage.live.com,df.s2s-storage.live.com,*.s2s.livefilestore.com,*.s2s.df.livefilestore.com,*.s2s-files-df.1drv.com,*.df.s2s-policies.live.net,df.s2s-policies.live.net,*.df-config.live.net,df-config.live.net,*.s2s-files.1drv.com,device.ra.live.com,*.keymaster.p001.1drv.com,*.keymaster.i001.1drv.com,s2s-skyapi.live.net,s2s-api.onedrive.com,*.s2s-api.onedrive.com,s2s-skyapi-df.live.net,df.s2s-api.onedrive.com,*.df.s2s-api.onedrive.com,df.people.onedrive.com,*.slps.live.net,*.ADMINSVC.P001.1drv.com,*.ADMINSVC.I001.1drv.com,*.CONFIG.I001.1drv.com,*.DEPLOYMGR.P001.1drv.com,*.JOB.P001.1drv.com,*.CAMP.I001.1drv.com,*.1drv.com,1drv.ms,*.LPS.I001.1drv.com,*.WSTCRS.I001.1drv.com,*.wstlm.1drv.com,sdrv.ms,*.am.files.1drv.com,*.db.files.1drv.com,*.bl.files.1drv.com,*.bn.files.1drv.com,*.by.files.1drv.com,*.ch.files.1drv.com,*.cy.files.1drv.com,*.dm.files.1drv.com,*.sn.files.1drv.com,d.bl3301.docs.live.net,d.bl3302.docs.live.net,*.API.P001.1drv.com,*.gls.i001.1drv.com,*.ph.files.1drv.com,*.onedrive.com",-,-,-,F,-,T,F
1762166876.916156,ffed0cab2b984110c0be73e3033e5b592d34096241ad5ed0ac0a0cf87048ecef,3,0DE4F4D24F1959C7B53F1FB74658A570,"CN=login.live.com,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=DigiCert SHA2 Secure Server CA,O=DigiCert Inc,C=US",1761436800.000000,1777075199.000000,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"login.live.com,*.login.live.com",-,-,-,F,-,T,F
1762166896.984604,497244582e72c18b40c10258d30229e65cdb155f4aae4a0a2e77469788745f4c,3,05CB296189CACE9CC3DBE2E4D0E5BF5F6752,CN=firefox.settings.services.mozilla.com,"CN=R12,O=Let's Encrypt,C=US",1760462067.000000,1768238066.000000,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"firefox-settings.mozilla-backup.org,firefox.settings.services.mozilla.com",-,-,-,F,-,T,F
1762166901.028888,d10e9be6ec90ff104e929155c950b862ba6a52acb15af0a6f1266762a683c4b4,3,33000003F9B9792B70E639BBDA0000000003F9,CN=wdcp.microsoft.com,"CN=Microsoft Secure Server CA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US",1753986854.000000,1786041254.000000,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.cp.wd.microsoft.com,wdcp.microsoft.com,spynet2.microsoft.com,wdcpalt.microsoft.com,spynetalt.microsoft.com",-,-,-,F,-,T,F
